************************************************
*                                              *
*                     imies                    *
*                                              *
*         Mie's calculations for any PSD       *
*     definition, particle type, wavelength    *
*            and relative humidity             *
*                                              *
*     Martin Aube 2000                         *
*                                              *
************************************************
 
 Experiment directory /home/martin/AODSEM/Examples/imies
 Executing intermie...
 Root name for input-output files ?(MAX 40 CHAR):
 Extensions .mie (input file), .mie.out (output file) and  .mie.psd (psd file)
 will be add to the root name.
 Reading input file:test.mie.         ..
 Opening output file:test.mie.out...
 ... Termine.
 Ouverture du fichier psd:test.mie.psd...
 ...Done.
 Reading psd file:test.mie.psd.      ..
 ...Done.


 In how many Sub-bins do you wish to split PSD? (MAX.   5000., MIN 1334)
 Closing psd file.
 Particle shape:
 1)  SPHERE                    EXACT
 Defining size increment...
 ...Done
 Defining size distribution...
 |----------------------------|
 |      SIZE DISTRIBUTION     |
 |-------------|--------------|
 | SIZE PARAM. | PSD          |
 |       87.445|      0.000080|
 |       87.578|      0.000080|
 |       87.711|      0.000079|
 |       87.845|      0.000079|
 |       87.978|      0.000078|
 |       88.111|      0.000078|
 |       88.245|      0.000077|
 |       88.378|      0.000077|
 |       88.511|      0.000076|
 |       88.645|      0.000076|
 |       88.778|      0.000075|
 |       88.911|      0.000075|
 |       89.044|      0.000074|
 |       89.178|      0.000074|
 |       89.311|      0.000073|
 |       89.444|      0.000073|
 |       89.578|      0.000073|
 |       89.711|      0.000072|
 |       89.844|      0.000072|
 |       89.978|      0.000071|
 |       90.111|      0.000071|
 |       90.244|      0.000070|
 |       90.377|      0.000070|
 |       90.511|      0.000069|
 |       90.644|      0.000069|
 |       90.777|      0.000069|
 |       90.911|      0.000068|
 |       91.044|      0.000068|
 |       91.177|      0.000067|
 |       91.311|      0.000067|
 |       91.444|      0.000067|
 |       91.577|      0.000066|
 |       91.710|      0.000066|
 |       91.844|      0.000065|
 |       91.977|      0.000065|
 |       92.110|      0.000065|
 |       92.244|      0.000064|
 |       92.377|      0.000064|
 |       92.510|      0.000063|
 |       92.644|      0.000063|
 |       92.777|      0.000063|
 |       92.910|      0.000062|
 |       93.043|      0.000062|
 |       93.177|      0.000061|
 |       93.310|      0.000061|
 |       93.443|      0.000061|
 |       93.577|      0.000060|
 |       93.710|      0.000060|
 |       93.843|      0.000060|
 |       93.977|      0.000059|
 |       94.110|      0.000059|
 |       94.243|      0.000059|
 |       94.376|      0.000058|
 |       94.510|      0.000058|
 |       94.643|      0.000058|
 |       94.776|      0.000057|
 |       94.910|      0.000057|
 |       95.043|      0.000057|
