Year Month Day Latitude Longitude Size
1961 8 19 52.892 -97.784 202.43
1961 10 10 54.1 -100.519 1280.00
1961 5 26 53.893 -101.417 1356.28
1961 6 29 55.3 -59.53 518.00
1961 6 3 51.492 -101.366 226.72
1961 6 6 56.583 -96.25 518.22
1961 6 3 52.168 -100.213 518.22
1961 6 15 52.674 -100.493 8502.02
1961 6 15 60.08 -104.75 6000.00
1961 5 4 54.766 -97.896 14170.04
1961 7 21 64.42 -116.63 3302.40
1961 6 14 52.8 -123.2 6224.00
1961 7 4 53.736 -96.281 16194.33
1961 5 19 55.6 -120.6 473.40
1961 6 4 55.9243 -112.3766 3499.90
1961 6 13 51.6 -123.8 841.70
1961 7 21 64.82 -120.08 768.00
1961 8 24 57.2098 -110.093 264.99
1961 6 26 51.3125 -93.125 652.00
1961 6 19 51.6875 -93.875 17350.00
1961 8 22 51.8 -120.5 1056.20
1961 6 15 61.07 -107.87 720.00
1961 8 20 52.5 -124 1547.50
1961 6 22 51.51 -88.31 1942.00
1961 6 22 55.017 -94.467 1214.58
1961 5 4 52.368 -100.588 352.23
1961 6 4 57.9967 -112.5772 2661.20
1961 6 19 49.72 -54.15 1545.00
1961 6 27 50.9375 -93.875 5335.00
1961 8 9 50.7 -120.2 560.00
1961 7 6 56.35 -101.033 6207.00
1961 6 22 55.083 -93.767 607.29
1961 8 3 55 -122.2 2901.60
1961 6 15 60.85 -106.97 960.00
1961 6 18 51.5625 -91.875 33566.00
1961 6 15 61.9 -107.92 30240.00
1961 8 14 50.6 -124.5 356.10
1961 6 29 49.1875 -93.125 890.00
1961 10 23 45.7567 -75.4749 332.66
1961 7 8 51.525 -100.329 1101.22
1961 6 23 56.15 -96.25 931.17
1961 5 19 51.885 -99.601 1012.15
1961 7 3 63.25 -116.2 4096.00
1961 8 16 53.5 -121.3 8215.10
1961 5 21 54.5723 -118.3046 1192.00
1961 6 29 51.455 -99.198 17040.49
1961 8 17 54.4 -121.6 617.50
1961 8 17 49.5 -118.5 465.30
1961 7 23 56.9 -125.7 3334.60
1961 8 2 52.3 -120.6 5536.10
1961 8 4 53 -121.9 207.10
1961 6 19 47.25 -52.97 2064.00
1961 5 19 52.59 -100.942 291.50
1961 6 2 59.2016 -114.9467 7724.60
1961 8 2 52.6 -119.2 671.70
1961 8 5 59.4 -124.5 339.90
1961 8 5 54.2 -121.4 423.30
1961 8 2 49.1 -125.2 223.30
1961 8 3 53.605 -97.593 607.29
1961 5 17 50.536 -96.253 810.00
1961 8 13 51.354 -96.151 4413.00
1961 6 23 47.57 -53.45 388.00
1961 8 12 51.7 -124.5 202.30
1961 8 2 53.8 -122.5 22257.70
1961 8 18 52.474 -96.816 1275.00
1961 5 26 50.6865 -100.257 400.00
1961 8 1 53 -120.3 4079.20
1961 8 17 53.856 -100.351 1903.00
1961 8 1 47.67 -54.67 150607.00
1961 5 19 57 -122.9 238.70
1961 8 19 49.04 -55.15 5963.00
1961 8 5 53.9 -125.1 4856.20
1961 7 12 51.8 -124.3 6138.20
1961 7 30 59.3 -121 33993.60
1961 8 16 52.7 -120.1 202.30
1961 8 4 52.3 -119 995.50
1961 8 5 57.5 -125.5 724.30
