tau_inf	H1
0.813	0.97
0.814	0.97
0.815	0.97
0.816	0.97
0.817	0.97
0.818	0.97
0.819	0.97
0.820	0.97
0.821	0.97
0.822	0.97
0.823	0.97
0.824	0.97
0.825	0.97
0.826	0.97
0.827	0.97
0.828	0.97
0.829	0.97
0.830	0.97
0.831	0.97
0.832	0.97
0.833	0.97
0.834	0.97
0.835	0.97
0.836	0.97
0.837	0.97
0.838	0.97
0.839	0.97
0.840	0.97
0.841	0.97
0.842	0.97
0.843	0.97
0.844	0.97
0.845	0.97
0.846	0.97
0.847	0.97
0.848	0.97
0.849	0.97
0.850	0.97
0.851	0.97
0.852	0.97
0.853	0.97
0.854	0.97
0.855	0.97
0.856	0.97
0.857	0.97
0.858	0.97
0.859	0.97
0.860	0.97
0.861	0.97
0.862	0.97
0.863	0.97
0.864	0.97
0.865	0.97
0.866	0.97
0.867	0.97
0.868	0.97
0.869	0.97
0.870	0.97
0.871	0.97
0.872	0.97
0.873	0.97
0.874	0.97
0.875	0.97
0.876	0.97
0.877	0.97
0.878	0.97
0.879	0.97
0.880	0.97
0.881	0.97
0.882	0.97
0.883	0.97
0.884	0.97
0.885	0.97
0.886	0.97
0.887	0.97
0.888	0.97
0.889	0.97
0.890	0.97
0.891	0.97
0.892	0.97
0.893	0.97
0.894	0.97
0.895	0.96
0.896	0.96
0.897	0.96
0.898	0.96
0.899	0.96
0.900	0.96
0.901	0.96
0.902	0.96
0.903	0.96
0.904	0.96
0.905	0.96
0.906	0.96
0.907	0.96
0.908	0.96
0.909	0.96
0.910	0.96
0.911	0.96
0.912	0.96
0.913	0.96
0.914	0.96
0.915	0.96
0.916	0.96
0.917	0.96
0.918	0.96
0.919	0.96
0.920	0.96
0.921	0.96
0.922	0.96
0.923	0.96
0.924	0.96
0.925	0.96
0.926	0.96
0.927	0.96
0.928	0.96
0.929	0.96
0.930	0.96
0.931	0.96
0.932	0.96
0.933	0.96
0.934	0.96
0.935	0.96
0.936	0.96
0.937	0.96
0.938	0.96
0.939	0.96
0.940	0.96
0.941	0.96
0.942	0.96
0.943	0.96
0.944	0.96
0.945	0.96
0.946	0.96
0.947	0.96
0.948	0.96
0.949	0.96
0.950	0.96
0.951	0.96
0.952	0.96
0.953	0.96
0.954	0.96
0.955	0.96
0.956	0.96
0.957	0.96
0.958	0.96
0.959	0.96
0.960	0.96
0.961	0.96
0.962	0.96
0.963	0.96
0.964	0.96
0.965	0.96
0.966	0.96
0.967	0.96
0.968	0.96
0.969	0.96
0.970	0.96
0.971	0.96
0.972	0.96
0.973	0.96
0.974	0.96
0.975	0.96
0.976	0.96
0.977	0.96
0.978	0.96
0.979	0.95
0.980	0.95
0.981	0.95
0.982	0.95
0.983	0.95
0.984	0.95
0.985	0.95
0.986	0.95
0.987	0.95
0.988	0.95
0.989	0.95
0.990	0.95
0.991	0.95
0.992	0.95
0.993	0.95
0.994	0.95
0.995	0.95
0.996	0.95
0.997	0.95
0.998	0.95
0.999	0.95
1.000	0.95
1.001	0.95
1.002	0.95
1.003	0.95
1.004	0.95
1.005	0.95
1.006	0.95
1.007	0.95
1.008	0.95
1.009	0.95
1.010	0.95
1.011	0.95
1.012	0.95
1.013	0.95
1.014	0.95
1.015	0.95
1.016	0.95
1.017	0.95
1.018	0.95
1.019	0.95
1.020	0.95
