 From deresol.f
 Units of 1E+4 part/m^3
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  5
 3527 1731 0 0 346 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  6
 3093 1518 0 0 303 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  7
 2660 1305 0 0 261 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  8
 2226 1092 0 0 218 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  1 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  1
 13137 6563 0 0 1373 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  2
 12052 6021 0 0 1260 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  3
 10969 5479 0 0 1147 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  4
 9889 4940 0 0 1034 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  5
 8807 4399 0 0 921 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  6
 7723 3858 0 0 807 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  7
 6641 3317 0 0 694 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  8
 5558 2776 0 0 581 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  2 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  1
 15654 7967 0 0 1746 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  2
 14361 7309 0 0 1601 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  3
 13070 6652 0 0 1457 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  4
 11783 5997 0 0 1314 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  5
 10494 5341 0 0 1170 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  6
 9203 4684 0 0 1026 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  7
 7913 4027 0 0 882 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  8
 6623 3371 0 0 738 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  3 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  1
 8902 4620 0 0 1059 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  2
 8167 4238 0 0 971 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  3
 7433 3857 0 0 884 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  4
 6701 3478 0 0 797 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  5
 5968 3097 0 0 710 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  6
 5233 2716 0 0 623 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  7
 4500 2335 0 0 535 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  8
 3766 1955 0 0 448 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL:  9
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  4 VERTICAL LEVEL: 10
 0 0 0 0 0 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  1
 2417 1280 0 0 307 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  2
 2217 1174 0 0 281 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  3
 2018 1069 0 0 256 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  4
 1819 963 0 0 231 0
# AEROSOL TYPE: BLACKCARB SIZE BIN:  5 VERTICAL LEVEL:  5
 1620 858 0 0 206 0
